gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
GRAMD4,3,210,3,144,0.9665950245003128,1.0,0.014755444700573309,-0.0
TUBGCP6,3,210,6,141,0.2100563423284648,1.0,0.6776642010735195,-0.0
ARSF,3,210,6,141,0.2100563423284648,1.0,0.6776642010735195,-0.0
STS,4,209,1,146,0.619687652509987,1.0,0.20782715723131512,-0.0
NAP1L3,6,207,4,143,1.0,0.8783248501010348,-0.0,0.05634482975033929
MUM1L1,7,206,2,145,0.41967204900849586,1.0,0.3770899546998858,-0.0
RNF113A,6,207,1,146,0.29151108658901337,1.0,0.5353449237424535,-0.0
DCAF12L2,22,191,11,136,0.4630048996069863,1.0,0.33441441316991116,-0.0
MIR890,0,213,0,147,1.0,1.0,-0.0,-0.0
TGIF2LY,0,213,2,145,0.3242395507928306,1.0,0.4891340109451508,-0.0
PCDH11Y,8,205,4,143,0.8111537425931148,1.0,0.09089682367809701,-0.0
CNKSR1,8,205,4,143,0.8111537425931148,1.0,0.09089682367809701,-0.0
POMGNT1,4,209,2,145,1.0,1.0,-0.0,-0.0
DMRTB1,6,207,3,144,0.9043325991613175,0.23859282931643555,0.043671813534901585,0.6223426127826093
LDLRAD1,0,213,2,145,0.3242395507928306,1.0,0.4891340109451508,-0.0
HOOK1,2,211,3,144,0.6745290717934915,1.0,0.17099932776018953,-0.0
RAVER2,3,210,0,147,0.39246129675530006,1.0,0.4062031655031425,-0.0
HHLA3,0,213,0,147,1.0,1.0,-0.0,-0.0
ACP6,2,211,0,147,0.6477958833965551,1.0,0.18856181616505285,-0.0
S100A2,0,213,0,147,1.0,1.0,-0.0,-0.0
BCAN,11,202,11,136,0.497181488956417,0.07743759708742957,0.30348504936615095,1.1110481317825764
HDGF,2,211,1,146,1.0,1.0,-0.0,-0.0
FCRL1,15,198,10,137,1.0,0.030279852062561674,-0.0,1.5188462509873573
IFI16,5,208,9,138,0.12265626104401099,0.5509849875850934,0.9113102781346116,0.25886023399354013
TBX19,3,210,2,145,1.0,1.0,-0.0,-0.0
ANKRD45,3,210,1,146,0.8915113663102285,1.0,0.04987311542262108,-0.0
CEP350,11,202,6,141,0.8233261696608654,0.9396923861369328,0.08442808019314386,0.027014292003980887
EDARADD,10,203,8,139,0.9411707610382654,0.11398695557828965,0.02633157333301443,0.9431448455451779
ZNF670,0,213,2,145,0.3242395507928306,1.0,0.4891340109451508,-0.0
PGBD2,7,206,2,145,0.41967204900849586,0.5444539772747026,0.3770899546998858,0.26403882529366757
KCNS3,5,208,2,145,0.7808101540403325,1.0,0.10745454752500777,-0.0
CYP1B1,2,211,2,145,1.0,1.0,-0.0,-0.0
CRIPT,1,212,1,146,1.0,1.0,-0.0,-0.0
MSH6,8,205,0,147,0.04416242308836011,1.0,1.354947105907619,-0.0
NRXN1,33,180,27,120,0.5649946739836942,0.596447520310226,0.24795564611046295,0.2244277626262238
CCDC88A,7,206,9,138,0.30617287062007775,0.31349994558358807,0.5140332939185497,0.5037625302168357
GGCX,0,213,2,145,0.3242395507928306,1.0,0.4891340109451508,-0.0
PAX8,3,210,4,143,0.6182827140704736,1.0,0.20881289532345965,-0.0
R3HDM1,6,207,4,143,1.0,0.5402913746074198,-0.0,0.2673719656281234
COBLL1,2,211,4,143,0.37915055837743683,1.0,0.4211883000887042,-0.0
TLK1,6,207,3,144,0.9043325991613175,0.6373518882339371,0.043671813534901585,0.1956207232016865
HOXD1,2,211,1,146,1.0,1.0,-0.0,-0.0
SUMO1,1,212,2,145,0.7456564822546201,1.0,0.12746120231390273,-0.0
DYTN,12,201,5,142,0.4661340168755198,0.8861140855995522,0.33148920257639825,0.05251035987741214
FN1,13,200,4,143,0.21709176407883884,0.47837563924795823,0.6633566522846889,0.3202309444242505
UGT1A3,9,204,4,143,0.642233140842186,0.6170750774519738,0.1923072875058506,0.2096619936012596
TRANK1,10,203,6,141,0.9861623257283867,0.020240570577077482,0.006051592801433728,1.693777248997084
DRD3,12,201,4,143,0.2900676794503856,0.6650055421020291,0.5375006594025439,0.17717473530697075
KIAA1257,4,209,2,145,1.0,1.0,-0.0,-0.0
CEP70,4,209,3,144,1.0,1.0,-0.0,-0.0
IL12A-AS1,5,208,5,142,0.7857225900669365,0.4237107971667934,0.10473076040941089,0.37293046899355214
ATP13A4,7,206,3,144,0.7034875482357286,0.4131761509873123,0.15274358519493744,0.3838647544165185
AFAP1,2,211,3,144,0.6745290717934915,1.0,0.17099932776018953,-0.0
ADH4,1,212,1,146,1.0,1.0,-0.0,-0.0
FAM198B,2,211,4,143,0.37915055837743683,1.0,0.4211883000887042,-0.0
MTNR1A,10,203,3,144,0.29865808180325715,0.7150006546880893,0.5248257285811697,0.14569356053836782
GIN1,0,213,1,146,0.8518536551102904,1.0,0.06963500879801482,-0.0
APC,8,205,7,140,0.8405228482013088,0.4226780741706355,0.07545047649829884,0.3739902800008296
SLC27A6,8,205,10,137,0.2901567691134329,0.22157512822014946,0.5373672932561986,0.6544789907078901
SPARC,5,208,1,146,0.4262040056283708,1.0,0.3703824729368728,-0.0
CLINT1,3,210,2,145,1.0,0.4142161782425252,-0.0,0.3827729426607157
MAT2B,0,213,2,145,0.3242395507928306,1.0,0.4891340109451508,-0.0
ZNF204P,0,213,0,147,1.0,1.0,-0.0,-0.0
ZNF184,6,207,2,145,0.5770537361405876,1.0,0.23878374278413164,-0.0
TREM1,1,212,0,147,1.0,1.0,-0.0,-0.0
CRISP1,5,208,4,143,1.0,0.5023349543605021,-0.0,0.29900660094115833
TFAP2D,9,204,13,134,0.1154354488712726,1.0,0.9376608039611259,-0.0
GRIK2,19,194,14,133,0.992587780714961,0.1338779838396093,0.0032310755025173887,0.8732908366035155
PRDM1,3,210,4,143,0.6182827140704736,1.0,0.20881289532345965,-0.0
KIAA1919,1,212,2,145,0.7456564822546201,1.0,0.12746120231390273,-0.0
ULBP3,0,213,2,145,0.3242395507928306,1.0,0.4891340109451508,-0.0
ACAT2,0,213,1,146,0.8518536551102904,1.0,0.06963500879801482,-0.0
QKI,4,209,0,147,0.24632074552586108,1.0,0.6084990096469272,-0.0
GARS,2,211,5,142,0.20236774196771418,1.0,0.693858714173823,-0.0
