gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
IGHG1,14,124,9,84,1.0,0.5346133551634153,-0.0,0.27196019634392254
IGHV3-33,0,138,2,91,0.31433836250136415,1.0,0.5026026135545971,-0.0
IGHV1-45,2,136,1,92,1.0,1.0,-0.0,-0.0
IGHV1-46,2,136,2,91,1.0,1.0,-0.0,-0.0
IGHV7-81,2,136,1,92,1.0,1.0,-0.0,-0.0
NPAP1,28,110,17,76,0.8344742254644092,0.8091720367476568,0.07858707289899489,0.0919591339289474
RYR3,29,109,26,67,0.29029598349355035,0.33607036289271985,0.5371589729821563,0.47356978506004854
KNSTRN,1,137,2,91,0.729148303480987,1.0,0.13718413034732296,-0.0
CASC5,4,134,3,90,1.0,1.0,-0.0,-0.0
RMDN3,1,137,1,92,1.0,1.0,-0.0,-0.0
GCHFR,0,138,0,93,1.0,1.0,-0.0,-0.0
MGA,13,125,5,88,0.3819746512325686,0.945515134160306,0.41796545697074367,0.024331515333265316
PDIA3,0,138,4,89,0.051965633435773644,1.0,1.2842837745071456,-0.0
B2M,2,136,1,92,1.0,1.0,-0.0,-0.0
SLC24A5,4,134,2,91,1.0,0.7236736098317631,-0.0,0.14045726447967397
LYSMD2,3,135,0,93,0.40162896798675896,1.0,0.3961749707059321,-0.0
LMAN1L,1,137,1,92,1.0,1.0,-0.0,-0.0
WDR61,1,137,0,93,1.0,1.0,-0.0,-0.0
IL16,11,127,7,86,1.0,0.11647782529776388,-0.0,0.9337567464616499
MEX3B,1,137,0,93,1.0,1.0,-0.0,-0.0
ADAMTSL3,12,126,8,85,1.0,0.8787986246221201,-0.0,0.05611063145053867
IFT140,1,137,2,91,0.729148303480987,1.0,0.13718413034732296,-0.0
CCNF,1,137,0,93,1.0,1.0,-0.0,-0.0
PRSS27,0,138,0,93,1.0,1.0,-0.0,-0.0
PRSS22,0,138,0,93,1.0,1.0,-0.0,-0.0
FLYWCH1,1,137,0,93,1.0,1.0,-0.0,-0.0
CREBBP,10,128,2,91,0.15875170829868201,1.0,0.799281592645755,-0.0
SNX29,5,133,1,92,0.4399552714975573,1.0,0.3565914742620167,-0.0
ABCC6,4,134,1,92,0.6362574981407336,1.0,0.1963670865695941,-0.0
ACSM5,10,128,7,86,1.0,0.28205887576155886,-0.0,0.5496602294481859
DNAH3,17,121,9,84,0.6812826841040666,0.6673550755787451,0.16667264921357647,0.17564303215070745
EEF2K,1,137,3,90,0.36022173633157495,1.0,0.44343008473124673,-0.0
ERN2,5,133,1,92,0.4399552714975573,1.0,0.3565914742620167,-0.0
IL21R,7,131,4,89,1.0,0.5707503880581739,-0.0,0.24355378455701526
KIAA0556,4,134,3,90,1.0,0.3864762307712327,-0.0,0.41287721109190795
SPNS1,3,135,1,92,0.9096079781954267,1.0,0.04114573909532821,-0.0
TAOK2,2,136,1,92,1.0,1.0,-0.0,-0.0
PRR14,0,138,0,93,1.0,1.0,-0.0,-0.0
SRCAP,11,127,7,86,1.0,0.8032161427749713,-0.0,0.09516757180308648
KAT8,0,138,1,92,0.842230304417774,1.0,0.0745691362182484,-0.0
